venta_id,cliente_id,fecha_venta,producto_id,cantidad,precio_unitario,total_venta,canal_venta,nombre_producto,categoria_id,nombre_categoria,año_venta,mes_venta,trimestre,clasificacion_venta
2025-030,499,2025-10-31,6,3,124589,373767,Web,Tablet,1,Tecnología,2025,10,4,Mediana
2025-031,291,2025-04-24,6,2,267438,534876,Web,Tablet,1,Tecnología,2025,4,2,Mediana
2025-032,480,2025-07-26,4,4,337350,1349400,Tienda Física,Monitor,1,Tecnología,2025,7,3,Grande
2025-033,442,2025-07-16,3,3,449503,1348509,Web,Teclado,2,Accesorios,2025,7,3,Grande
2025-034,125,2025-03-09,2,3,610600,1831800,Web,Mouse,2,Accesorios,2025,3,1,Grande
2025-035,29,2025-03-15,3,3,439505,1318515,Web,Teclado,2,Accesorios,2025,3,1,Grande
2025-036,427,2025-07-30,1,4,647999,2591996,Tienda Física,Notebook,1,Tecnología,2025,7,3,Grande
2025-037,408,2025-07-02,3,2,645873,1291746,Web,Teclado,2,Accesorios,2025,7,3,Grande
2025-038,191,2025-05-29,3,1,120130,120130,App,Teclado,2,Accesorios,2025,5,2,Pequeña
2025-039,388,2025-06-15,6,1,62691,62691,Web,Tablet,1,Tecnología,2025,6,2,Pequeña
2025-040,14,2025-07-08,3,4,759450,3037800,App,Teclado,2,Accesorios,2025,7,3,Grande
2025-041,155,2025-03-16,6,2,188646,377292,Web,Tablet,1,Tecnología,2025,3,1,Mediana
2025-042,428,2025-12-11,5,3,501006,1503018,Web,Audífonos,2,Accesorios,2025,12,4,Grande
2025-043,182,2025-07-12,2,2,787475,1574950,Tienda Física,Mouse,2,Accesorios,2025,7,3,Grande
2025-044,104,2025-08-30,4,2,413157,826314,Tienda Física,Monitor,1,Tecnología,2025,8,3,Mediana
2025-045,209,2025-04-22,5,2,227741,455482,Web,Audífonos,2,Accesorios,2025,4,2,Mediana
2025-046,375,2025-10-23,3,3,96795,290385,App,Teclado,2,Accesorios,2025,10,4,Mediana
2025-047,20,2025-06-05,6,2,209298,418596,App,Tablet,1,Tecnología,2025,6,2,Mediana
2025-048,94,2025-10-20,5,1,126545,126545,Web,Audífonos,2,Accesorios,2025,10,4,Pequeña
2025-049,230,2025-03-16,2,4,795945,3183780,Tienda Física,Mouse,2,Accesorios,2025,3,1,Grande
2025-050,150,2025-10-23,4,4,531244,2124976,App,Monitor,1,Tecnología,2025,10,4,Grande
2025-051,414,2025-04-26,1,4,454755,1819020,Tienda Física,Notebook,1,Tecnología,2025,4,2,Grande
2025-052,144,2025-01-07,6,2,425466,850932,Web,Tablet,1,Tecnología,2025,1,1,Mediana
2025-053,443,2025-03-29,3,1,115686,115686,Tienda Física,Teclado,2,Accesorios,2025,3,1,Pequeña
2025-054,73,2025-08-22,3,3,708148,2124444,Web,Teclado,2,Accesorios,2025,8,3,Grande
2025-055,239,2025-04-05,1,4,437214,1748856,Web,Notebook,1,Tecnología,2025,4,2,Grande
2025-056,222,2025-08-19,6,4,417931,1671724,Web,Tablet,1,Tecnología,2025,8,3,Grande
2025-057,119,2025-03-05,4,1,521760,521760,App,Monitor,1,Tecnología,2025,3,1,Mediana
2025-058,350,2025-01-11,5,3,522493,1567479,App,Audífonos,2,Accesorios,2025,1,1,Grande
2025-059,434,2025-09-08,4,2,515633,1031266,App,Monitor,1,Tecnología,2025,9,3,Grande
2025-060,358,2025-09-28,2,4,55619,222476,Web,Mouse,2,Accesorios,2025,9,3,Mediana
2025-061,84,2025-10-23,3,1,75149,75149,Tienda Física,Teclado,2,Accesorios,2025,10,4,Pequeña
2025-062,360,2025-04-03,3,2,297623,595246,App,Teclado,2,Accesorios,2025,4,2,Mediana
2025-063,56,2025-01-28,4,2,505654,1011308,Web,Monitor,1,Tecnología,2025,1,1,Grande
2025-064,420,2025-02-05,5,1,288495,288495,Web,Audífonos,2,Accesorios,2025,2,1,Mediana
2025-065,282,2025-06-15,6,4,507599,2030396,Tienda Física,Tablet,1,Tecnología,2025,6,2,Grande
2025-066,344,2025-01-11,6,2,754822,1509644,App,Tablet,1,Tecnología,2025,1,1,Grande
2025-067,96,2025-09-23,6,1,579829,579829,App,Tablet,1,Tecnología,2025,9,3,Mediana
2025-068,408,2025-12-09,3,4,745035,2980140,Web,Teclado,2,Accesorios,2025,12,4,Grande
2025-069,65,2025-04-16,2,1,433350,433350,Web,Mouse,2,Accesorios,2025,4,2,Mediana
2025-070,184,2025-03-30,2,1,234021,234021,App,Mouse,2,Accesorios,2025,3,1,Mediana
2025-071,371,2025-04-16,4,4,607904,2431616,Tienda Física,Monitor,1,Tecnología,2025,4,2,Grande
2025-072,463,2025-02-09,5,1,111407,111407,App,Audífonos,2,Accesorios,2025,2,1,Pequeña
2025-073,219,2025-07-27,5,2,715356,1430712,Web,Audífonos,2,Accesorios,2025,7,3,Grande
2025-074,447,2025-07-30,4,4,127797,511188,Tienda Física,Monitor,1,Tecnología,2025,7,3,Mediana
2025-075,249,2025-10-22,3,4,295713,1182852,Tienda Física,Teclado,2,Accesorios,2025,10,4,Grande
2025-076,345,2025-12-03,6,4,568988,2275952,Web,Tablet,1,Tecnología,2025,12,4,Grande
2025-077,229,2025-07-07,6,3,679260,2037780,App,Tablet,1,Tecnología,2025,7,3,Grande
2025-078,270,2025-02-08,6,4,98059,392236,Web,Tablet,1,Tecnología,2025,2,1,Mediana
2025-079,333,2025-04-30,3,2,275406,550812,Web,Teclado,2,Accesorios,2025,4,2,Mediana
2025-080,222,2025-08-25,3,4,191890,767560,App,Teclado,2,Accesorios,2025,8,3,Mediana
2025-081,226,2025-07-19,6,4,533260,2133040,Tienda Física,Tablet,1,Tecnología,2025,7,3,Grande
2025-082,72,2025-02-01,6,1,166877,166877,Tienda Física,Tablet,1,Tecnología,2025,2,1,Pequeña
2025-083,394,2025-03-17,3,4,453066,1812264,Web,Teclado,2,Accesorios,2025,3,1,Grande
2025-084,315,2025-07-09,5,3,22100,66300,Web,Audífonos,2,Accesorios,2025,7,3,Pequeña
2025-085,127,2025-09-07,1,3,244196,732588,Tienda Física,Notebook,1,Tecnología,2025,9,3,Mediana
2025-086,383,2025-02-14,6,4,719132,2876528,Tienda Física,Tablet,1,Tecnología,2025,2,1,Grande
2025-087,426,2025-07-24,2,1,575523,575523,Web,Mouse,2,Accesorios,2025,7,3,Mediana
2025-088,438,2025-09-30,4,1,603792,603792,App,Monitor,1,Tecnología,2025,9,3,Mediana
2025-089,328,2025-10-06,2,3,96124,288372,App,Mouse,2,Accesorios,2025,10,4,Mediana
2025-090,328,2025-07-06,3,2,732030,1464060,Web,Teclado,2,Accesorios,2025,7,3,Grande
2025-091,423,2025-07-08,5,1,247723,247723,Tienda Física,Audífonos,2,Accesorios,2025,7,3,Mediana
2025-092,2,2025-01-13,6,2,207478,414956,App,Tablet,1,Tecnología,2025,1,1,Mediana
2025-093,221,2025-09-26,6,2,447585,895170,Tienda Física,Tablet,1,Tecnología,2025,9,3,Mediana
2025-094,469,2025-02-24,6,1,191871,191871,Web,Tablet,1,Tecnología,2025,2,1,Pequeña
2025-095,424,2025-07-20,3,4,485278,1941112,App,Teclado,2,Accesorios,2025,7,3,Grande
2025-096,364,2025-06-29,5,3,446607,1339821,App,Audífonos,2,Accesorios,2025,6,2,Grande
2025-097,417,2025-07-01,1,4,700824,2803296,Tienda Física,Notebook,1,Tecnología,2025,7,3,Grande
2025-098,1,2025-04-08,4,3,319066,957198,Web,Monitor,1,Tecnología,2025,4,2,Mediana
2025-099,288,2025-03-13,4,1,99037,99037,Tienda Física,Monitor,1,Tecnología,2025,3,1,Pequeña
2025-100,190,2025-08-20,4,1,761722,761722,App,Monitor,1,Tecnología,2025,8,3,Mediana
2025-101,190,2025-06-20,3,3,463222,1389666,Tienda Física,Teclado,2,Accesorios,2025,6,2,Grande
2025-102,273,2025-08-09,1,4,2243768,8975072,Web,Notebook,1,Tecnología,2025,8,3,Grande
2025-103,341,2025-04-12,6,2,23233,46466,Web,Tablet,1,Tecnología,2025,4,2,Pequeña
2025-104,493,2025-08-21,3,2,638423,1276846,Web,Teclado,2,Accesorios,2025,8,3,Grande
2025-105,227,2025-11-01,3,3,164455,493365,Web,Teclado,2,Accesorios,2025,11,4,Mediana
2025-106,115,2025-12-25,2,3,437858,1313574,Tienda Física,Mouse,2,Accesorios,2025,12,4,Grande
2025-107,273,2025-01-28,6,3,745415,2236245,App,Tablet,1,Tecnología,2025,1,1,Grande
2025-108,38,2025-08-02,5,3,238931,716793,App,Audífonos,2,Accesorios,2025,8,3,Mediana
2025-109,177,2025-11-04,3,4,236572,946288,App,Teclado,2,Accesorios,2025,11,4,Mediana
2025-110,288,2025-07-07,1,1,572422,572422,App,Notebook,1,Tecnología,2025,7,3,Mediana
2025-111,83,2025-08-26,2,4,560242,2240968,Tienda Física,Mouse,2,Accesorios,2025,8,3,Grande
2025-112,284,2025-10-31,1,2,546785,1093570,Web,Notebook,1,Tecnología,2025,10,4,Grande
2025-113,447,2025-07-27,4,4,145639,582556,App,Monitor,1,Tecnología,2025,7,3,Mediana
2025-114,388,2025-05-17,6,4,395946,1583784,Tienda Física,Tablet,1,Tecnología,2025,5,2,Grande
2025-115,400,2025-05-22,4,3,360679,1082037,Web,Monitor,1,Tecnología,2025,5,2,Grande
2025-116,25,2025-04-28,2,3,338953,1016859,App,Mouse,2,Accesorios,2025,4,2,Grande
2025-117,73,2025-01-10,2,4,402551,1610204,Tienda Física,Mouse,2,Accesorios,2025,1,1,Grande
2025-118,323,2025-04-23,5,3,554026,1662078,Tienda Física,Audífonos,2,Accesorios,2025,4,2,Grande
2025-119,163,2025-06-24,4,1,287785,287785,App,Monitor,1,Tecnología,2025,6,2,Mediana
2025-120,471,2025-05-12,2,4,612251,2449004,Tienda Física,Mouse,2,Accesorios,2025,5,2,Grande
2025-121,176,2025-03-07,1,2,783720,1567440,App,Notebook,1,Tecnología,2025,3,1,Grande
2025-122,387,2025-12-06,2,1,121576,121576,Web,Mouse,2,Accesorios,2025,12,4,Pequeña
2025-123,116,2025-10-21,6,1,278733,278733,Web,Tablet,1,Tecnología,2025,10,4,Mediana
2025-124,143,2025-10-29,2,2,553597,1107194,Web,Mouse,2,Accesorios,2025,10,4,Grande
2025-125,277,2025-03-11,1,2,288404,576808,Web,Notebook,1,Tecnología,2025,3,1,Mediana
2025-126,363,2025-04-01,4,3,182502,547506,App,Monitor,1,Tecnología,2025,4,2,Mediana
2025-127,149,2025-07-11,4,3,216486,649458,Tienda Física,Monitor,1,Tecnología,2025,7,3,Mediana
2025-128,40,2025-06-29,2,2,587880,1175760,Web,Mouse,2,Accesorios,2025,6,2,Grande
2025-129,200,2025-08-25,3,1,458377,458377,Web,Teclado,2,Accesorios,2025,8,3,Mediana
2025-130,311,2025-08-25,5,4,555210,2220840,App,Audífonos,2,Accesorios,2025,8,3,Grande
2025-131,349,2025-01-02,5,1,4459730,4459730,Web,Audífonos,2,Accesorios,2025,1,1,Grande
2025-132,360,2025-09-24,4,3,122669,368007,Tienda Física,Monitor,1,Tecnología,2025,9,3,Mediana
2025-133,90,2025-08-08,5,3,499415,1498245,App,Audífonos,2,Accesorios,2025,8,3,Grande
2025-134,94,2025-07-03,1,3,303561,910683,Tienda Física,Notebook,1,Tecnología,2025,7,3,Mediana
2025-135,162,2025-10-05,4,1,511323,511323,Web,Monitor,1,Tecnología,2025,10,4,Mediana
2025-136,111,2025-07-01,1,1,189689,189689,App,Notebook,1,Tecnología,2025,7,3,Pequeña
2025-137,405,2025-04-09,1,2,248245,496490,Web,Notebook,1,Tecnología,2025,4,2,Mediana
2025-138,208,2025-01-17,6,3,130592,391776,App,Tablet,1,Tecnología,2025,1,1,Mediana
2025-139,90,2025-12-03,5,1,518069,518069,App,Audífonos,2,Accesorios,2025,12,4,Mediana
2025-140,429,2025-01-14,6,3,213117,639351,Tienda Física,Tablet,1,Tecnología,2025,1,1,Mediana
2025-141,72,2025-10-10,5,3,599621,1798863,Web,Audífonos,2,Accesorios,2025,10,4,Grande
2025-142,241,2025-03-01,5,4,790962,3163848,App,Audífonos,2,Accesorios,2025,3,1,Grande
2025-143,197,2025-08-05,6,2,132672,265344,App,Tablet,1,Tecnología,2025,8,3,Mediana
2025-144,26,2025-07-17,5,2,152867,305734,Tienda Física,Audífonos,2,Accesorios,2025,7,3,Mediana
2025-145,448,2025-09-30,2,2,347283,694566,Web,Mouse,2,Accesorios,2025,9,3,Mediana
2025-146,14,2025-02-13,6,1,463510,463510,Tienda Física,Tablet,1,Tecnología,2025,2,1,Mediana
2025-147,399,2025-08-27,3,3,34042,102126,Tienda Física,Teclado,2,Accesorios,2025,8,3,Pequeña
2025-148,337,2025-04-10,3,3,159395,478185,Tienda Física,Teclado,2,Accesorios,2025,4,2,Mediana
2025-149,416,2025-12-26,2,4,675643,2702572,Web,Mouse,2,Accesorios,2025,12,4,Grande
2025-150,381,2025-03-06,1,3,453441,1360323,Tienda Física,Notebook,1,Tecnología,2025,3,1,Grande
2025-151,288,2025-11-10,4,1,726741,726741,App,Monitor,1,Tecnología,2025,11,4,Mediana
2025-152,421,2025-07-06,6,4,764471,3057884,App,Tablet,1,Tecnología,2025,7,3,Grande
2025-153,388,2025-07-13,5,2,782332,1564664,Tienda Física,Audífonos,2,Accesorios,2025,7,3,Grande
2025-154,259,2025-06-20,6,4,734750,2939000,Tienda Física,Tablet,1,Tecnología,2025,6,2,Grande
2025-155,201,2025-12-30,5,2,721238,1442476,Tienda Física,Audífonos,2,Accesorios,2025,12,4,Grande
2025-156,103,2025-10-13,2,1,791624,791624,App,Mouse,2,Accesorios,2025,10,4,Mediana
2025-157,230,2025-03-01,2,2,157878,315756,App,Mouse,2,Accesorios,2025,3,1,Mediana
2025-158,171,2025-12-16,6,1,422310,422310,App,Tablet,1,Tecnología,2025,12,4,Mediana
2025-159,440,2025-04-18,2,1,651517,651517,Web,Mouse,2,Accesorios,2025,4,2,Mediana
2025-160,407,2025-05-26,6,4,769401,3077604,Tienda Física,Tablet,1,Tecnología,2025,5,2,Grande
2025-161,424,2025-07-21,2,4,519668,2078672,App,Mouse,2,Accesorios,2025,7,3,Grande
2025-162,112,2025-04-16,3,3,121426,364278,Tienda Física,Teclado,2,Accesorios,2025,4,2,Mediana
2025-163,299,2025-12-03,1,4,744595,2978380,Web,Notebook,1,Tecnología,2025,12,4,Grande
2025-164,467,2025-10-18,5,4,500999,2003996,App,Audífonos,2,Accesorios,2025,10,4,Grande
2025-165,193,2025-09-04,4,2,417407,834814,Tienda Física,Monitor,1,Tecnología,2025,9,3,Mediana
2025-166,461,2025-11-12,3,2,589074,1178148,Tienda Física,Teclado,2,Accesorios,2025,11,4,Grande
2025-167,270,2025-09-08,1,2,122752,245504,Web,Notebook,1,Tecnología,2025,9,3,Mediana
2025-168,329,2025-06-24,2,3,681868,2045604,Web,Mouse,2,Accesorios,2025,6,2,Grande
2025-169,47,2025-08-25,4,4,729128,2916512,Tienda Física,Monitor,1,Tecnología,2025,8,3,Grande
2025-170,25,2025-11-10,2,2,488697,977394,App,Mouse,2,Accesorios,2025,11,4,Mediana
2025-171,375,2025-12-21,1,1,429149,429149,App,Notebook,1,Tecnología,2025,12,4,Mediana
2025-172,266,2025-03-26,3,3,122138,366414,Web,Teclado,2,Accesorios,2025,3,1,Mediana
2025-173,214,2025-03-05,5,3,488928,1466784,App,Audífonos,2,Accesorios,2025,3,1,Grande
2025-174,332,2025-02-23,1,2,690913,1381826,Tienda Física,Notebook,1,Tecnología,2025,2,1,Grande
2025-175,331,2025-07-06,1,3,322849,968547,App,Notebook,1,Tecnología,2025,7,3,Mediana
2025-176,144,2025-08-27,6,1,2933432,2933432,App,Tablet,1,Tecnología,2025,8,3,Grande
2025-177,76,2025-09-03,4,1,237203,237203,App,Monitor,1,Tecnología,2025,9,3,Mediana
2025-178,474,2025-03-13,3,3,670046,2010138,Tienda Física,Teclado,2,Accesorios,2025,3,1,Grande
2025-179,191,2025-01-12,6,3,164599,493797,Web,Tablet,1,Tecnología,2025,1,1,Mediana
2025-180,254,2025-09-10,3,1,449358,449358,Web,Teclado,2,Accesorios,2025,9,3,Mediana
2025-181,376,2025-07-27,4,1,321385,321385,App,Monitor,1,Tecnología,2025,7,3,Mediana
2025-182,349,2025-05-31,4,1,133805,133805,App,Monitor,1,Tecnología,2025,5,2,Pequeña
2025-183,458,2025-10-20,5,4,455563,1822252,Web,Audífonos,2,Accesorios,2025,10,4,Grande
2025-184,195,2025-10-02,4,3,677565,2032695,Web,Monitor,1,Tecnología,2025,10,4,Grande
2025-185,106,2025-01-27,5,4,32692,130768,Tienda Física,Audífonos,2,Accesorios,2025,1,1,Pequeña
2025-186,285,2025-11-15,4,1,473685,473685,App,Monitor,1,Tecnología,2025,11,4,Mediana
2025-187,406,2025-01-30,2,1,30323,30323,Web,Mouse,2,Accesorios,2025,1,1,Pequeña
2025-188,275,2025-11-14,2,1,791738,791738,App,Mouse,2,Accesorios,2025,11,4,Mediana
2025-189,221,2025-11-25,4,2,666051,1332102,Tienda Física,Monitor,1,Tecnología,2025,11,4,Grande
2025-190,499,2025-04-26,3,2,237909,475818,Tienda Física,Teclado,2,Accesorios,2025,4,2,Mediana
2025-191,335,2025-02-19,1,4,748591,2994364,App,Notebook,1,Tecnología,2025,2,1,Grande
2025-192,5,2025-03-16,4,3,688525,2065575,Web,Monitor,1,Tecnología,2025,3,1,Grande
2025-193,278,2025-10-27,2,4,594668,2378672,App,Mouse,2,Accesorios,2025,10,4,Grande
2025-194,77,2025-03-09,2,1,610198,610198,Tienda Física,Mouse,2,Accesorios,2025,3,1,Mediana
2025-195,490,2025-12-07,6,3,741576,2224728,Web,Tablet,1,Tecnología,2025,12,4,Grande
2025-196,415,2025-10-15,3,3,662468,1987404,App,Teclado,2,Accesorios,2025,10,4,Grande
2025-197,187,2025-11-12,4,2,524241,1048482,Web,Monitor,1,Tecnología,2025,11,4,Grande
2025-198,352,2025-04-17,6,3,468996,1406988,Web,Tablet,1,Tecnología,2025,4,2,Grande
2025-199,395,2025-11-02,5,4,717910,2871640,Tienda Física,Audífonos,2,Accesorios,2025,11,4,Grande
2025-200,209,2025-11-17,1,3,93291,279873,Tienda Física,Notebook,1,Tecnología,2025,11,4,Mediana
2025-201,476,2025-04-16,5,2,425105,850210,Tienda Física,Audífonos,2,Accesorios,2025,4,2,Mediana
2025-202,410,2025-06-20,3,4,51777,207108,Tienda Física,Teclado,2,Accesorios,2025,6,2,Mediana
2025-203,493,2025-10-10,3,4,714706,2858824,Web,Teclado,2,Accesorios,2025,10,4,Grande
2025-204,182,2025-11-12,2,1,694687,694687,App,Mouse,2,Accesorios,2025,11,4,Mediana
2025-205,30,2025-10-08,4,2,374315,748630,Web,Monitor,1,Tecnología,2025,10,4,Mediana
2025-206,266,2025-08-13,4,2,776759,1553518,Web,Monitor,1,Tecnología,2025,8,3,Grande
2025-207,361,2025-09-03,6,2,454718,909436,Web,Tablet,1,Tecnología,2025,9,3,Mediana
2025-208,22,2025-10-10,1,4,331898,1327592,Web,Notebook,1,Tecnología,2025,10,4,Grande
2025-209,336,2025-03-30,2,4,64745,258980,App,Mouse,2,Accesorios,2025,3,1,Mediana
2025-210,12,2025-07-20,1,4,61033,244132,App,Notebook,1,Tecnología,2025,7,3,Mediana
2025-211,352,2025-02-08,1,2,96803,193606,App,Notebook,1,Tecnología,2025,2,1,Pequeña
2025-212,321,2025-06-08,3,4,583091,2332364,Web,Teclado,2,Accesorios,2025,6,2,Grande
2025-213,78,2025-01-12,2,1,313630,313630,Web,Mouse,2,Accesorios,2025,1,1,Mediana
2025-214,156,2025-10-07,4,1,121462,121462,Web,Monitor,1,Tecnología,2025,10,4,Pequeña
2025-215,394,2025-08-04,6,2,361889,723778,App,Tablet,1,Tecnología,2025,8,3,Mediana
2025-216,162,2025-02-05,2,4,236453,945812,Web,Mouse,2,Accesorios,2025,2,1,Mediana
2025-217,420,2025-12-02,6,2,446862,893724,Web,Tablet,1,Tecnología,2025,12,4,Mediana
2025-218,356,2025-06-13,1,4,403120,1612480,App,Notebook,1,Tecnología,2025,6,2,Grande
2025-219,294,2025-05-03,3,3,592111,1776333,Tienda Física,Teclado,2,Accesorios,2025,5,2,Grande
2025-220,453,2025-08-31,4,1,725879,725879,App,Monitor,1,Tecnología,2025,8,3,Mediana
2025-221,231,2025-12-03,6,2,250011,500022,Web,Tablet,1,Tecnología,2025,12,4,Mediana
2025-222,87,2025-10-15,6,1,226621,226621,Tienda Física,Tablet,1,Tecnología,2025,10,4,Mediana
2025-223,44,2025-09-18,1,1,567665,567665,Web,Notebook,1,Tecnología,2025,9,3,Mediana
2025-224,283,2025-09-13,4,3,780663,2341989,Tienda Física,Monitor,1,Tecnología,2025,9,3,Grande
2025-225,206,2025-03-24,3,1,657952,657952,App,Teclado,2,Accesorios,2025,3,1,Mediana
2025-226,438,2025-09-08,6,3,399919,1199757,Tienda Física,Tablet,1,Tecnología,2025,9,3,Grande
2025-227,133,2025-04-05,1,1,419925,419925,App,Notebook,1,Tecnología,2025,4,2,Mediana
2025-228,450,2025-08-07,5,1,243979,243979,Web,Audífonos,2,Accesorios,2025,8,3,Mediana
2025-229,72,2025-12-09,1,4,336571,1346284,Tienda Física,Notebook,1,Tecnología,2025,12,4,Grande
2025-230,423,2025-02-23,6,4,583340,2333360,App,Tablet,1,Tecnología,2025,2,1,Grande
2025-231,16,2025-04-21,3,4,167753,671012,Web,Teclado,2,Accesorios,2025,4,2,Mediana
2025-232,337,2025-11-22,2,1,789091,789091,Web,Mouse,2,Accesorios,2025,11,4,Mediana
2025-233,112,2025-07-07,3,1,319378,319378,Tienda Física,Teclado,2,Accesorios,2025,7,3,Mediana
2025-234,197,2025-07-31,3,4,279515,1118060,Web,Teclado,2,Accesorios,2025,7,3,Grande
2025-235,276,2025-08-31,1,3,253459,760377,App,Notebook,1,Tecnología,2025,8,3,Mediana
2025-236,275,2025-06-20,6,3,147900,443700,Web,Tablet,1,Tecnología,2025,6,2,Mediana
2025-237,397,2025-02-21,4,1,514917,514917,Tienda Física,Monitor,1,Tecnología,2025,2,1,Mediana
2025-238,437,2025-07-30,5,2,523066,1046132,App,Audífonos,2,Accesorios,2025,7,3,Grande
2025-239,346,2025-03-18,3,2,501818,1003636,Web,Teclado,2,Accesorios,2025,3,1,Grande
2025-240,20,2025-09-25,3,4,73014,292056,Tienda Física,Teclado,2,Accesorios,2025,9,3,Mediana
2025-241,479,2025-02-11,6,3,348585,1045755,Tienda Física,Tablet,1,Tecnología,2025,2,1,Grande
2025-242,11,2025-10-02,6,2,366778,733556,App,Tablet,1,Tecnología,2025,10,4,Mediana
2025-243,430,2025-08-08,4,2,515200,1030400,Web,Monitor,1,Tecnología,2025,8,3,Grande
2025-244,355,2025-09-20,3,4,356030,1424120,Tienda Física,Teclado,2,Accesorios,2025,9,3,Grande
2025-245,359,2025-12-24,5,4,345513,1382052,App,Audífonos,2,Accesorios,2025,12,4,Grande
2025-246,140,2025-02-15,3,3,2062784,6188352,Web,Teclado,2,Accesorios,2025,2,1,Grande
2025-247,88,2025-04-28,1,1,739688,739688,App,Notebook,1,Tecnología,2025,4,2,Mediana
2025-248,441,2025-01-07,4,2,655424,1310848,App,Monitor,1,Tecnología,2025,1,1,Grande
2025-249,122,2025-08-03,3,4,695493,2781972,Web,Teclado,2,Accesorios,2025,8,3,Grande
2025-250,279,2025-11-09,2,4,616954,2467816,App,Mouse,2,Accesorios,2025,11,4,Grande
2025-251,409,2025-06-13,6,1,279152,279152,App,Tablet,1,Tecnología,2025,6,2,Mediana
2025-252,334,2025-09-30,3,2,161899,323798,Tienda Física,Teclado,2,Accesorios,2025,9,3,Mediana
2025-253,208,2025-04-03,6,2,569603,1139206,Web,Tablet,1,Tecnología,2025,4,2,Grande
2025-254,79,2025-12-24,6,4,142018,568072,App,Tablet,1,Tecnología,2025,12,4,Mediana
2025-255,47,2025-09-01,5,4,730117,2920468,App,Audífonos,2,Accesorios,2025,9,3,Grande
2025-256,422,2025-10-05,1,2,111894,223788,Web,Notebook,1,Tecnología,2025,10,4,Mediana
2025-257,210,2025-05-18,1,1,432217,432217,Web,Notebook,1,Tecnología,2025,5,2,Mediana
2025-258,391,2025-11-04,5,2,416245,832490,Web,Audífonos,2,Accesorios,2025,11,4,Mediana
2025-259,1,2025-01-04,4,1,371659,371659,Web,Monitor,1,Tecnología,2025,1,1,Mediana
2025-260,132,2025-01-01,3,2,322579,645158,Tienda Física,Teclado,2,Accesorios,2025,1,1,Mediana
